tStart,time,subject
1090.38,13.38,s1
1103.76,2.18,s2
1105.94,2.4,s1
1108.34,3.01,s2
1111.35,1.8,s1
1113.15,0.45,s2
1113.6,0.72,s1
1114.32,1.3,s0
1115.62,0.68,s2
1121.71,0.82,s1
1122.53,1.17,s0
1128.13,13.4,s2
1141.53,1.61,s1
1143.14,1.41,s2
1144.55,0.94,s1
1145.49,5.85,s2
1154.5,3.9,s2
1161.34,10.01,s2
1171.35,1.6,s1
1172.95,2.7,s2
1177.23,12.16,s1
1189.39,0.95,s2
1190.34,1.2,s1
1192.1,2.52,s2
1194.62,3.08,s2
1197.7,8.32,s1
1206.02,1.48,s0
1207.5,1.72,s2
1209.22,3.08,s0
1212.3,10.85,s2
1223.15,0.34,s1
1223.49,4.73,s2
1228.22,1.48,s1
1229.7,6.72,s0
1236.42,10.85,s2
1247.27,0.81,s1
1248.08,2.18,s2
1250.26,2.74,s2
1255.72,0.87,s2
1257.85,2.32,s2
1260.17,3.29,s1
1273.95,2.77,s0
1279.86,0.96,s2
1282.11,0.82,s0
1284.88,2.34,s2
1288.58,0.58,s2
1289.16,2.5,s0
1291.66,1.83,s2
1296.16,4.92,s0
1302.63,0.74,s2
1303.37,0.9,s1
1304.27,3.27,s0
1307.54,1.12,s1
1308.66,1.24,s1
1309.9,0.58,s0
1310.48,1.97,s2
1312.45,1.85,s1
1314.3,1.35,s2
1315.65,1.21,s0
1316.86,1.27,s2
1318.13,2.86,s0
1323.04,1.06,s2
1324.1,2.88,s1
1326.98,0.75,s2
1332.7,1.59,s2
1334.29,14.186,s1
1349.328,2.01,s0
1351.338,1.01,s1
1357.846,1.075,s2
1358.921,1.06,s0
1360.676,0.805,s2
1361.481,2.817,s0
1364.298,1.545,s1
1367.77,4.946,s1
1372.716,0.769,s0
1374.426,6.054,s0
1382.24,1.013,s2
1384.27,0.466,s3
1385.366,2.185,s1
1387.551,2.327,s2
1389.878,0.983,s2
1399.106,0.625,s0
1399.731,4.399,s2
1404.558,0.448,s1
1409.736,3.179,s0
1427.436,2.78,s0
1432.558,0.842,s1
1433.4,2.785,s0
1440.34,6.155,s1
1449.673,2.218,s2
1451.891,3.509,s1
1455.4,0.405,s2
1456.665,0.621,s1
1458.94,2.511,s1
1462.59,0.66,s0
1463.873,0.552,s0
1465.356,0.884,s0
1467.398,0.41,s1
1470.438,1.902,s2
1472.34,2.035,s0
1474.375,1.848,s1
1476.223,1.267,s0
1493.858,3.868,s0
1497.726,4.024,s1
1501.75,0.85,s1
1503.578,4.737,s2
1508.315,0.92,s1
1509.235,0.73,s3
1512.14,0.301,s2
1516.265,0.868,s2
1517.133,0.997,s3
1522.911,2.654,s3
1530.495,1.603,s1
1535.086,3.144,s0
1540.213,2.312,s0
1542.525,1.305,s2
1543.83,6.493,s2
1550.323,1.777,s2
1556.08,4.455,s0
1560.535,1.151,s2
1568.62,0.381,s1
1575.296,7.284,s1
1582.58,1.14,s1
1583.72,1.84,s1
1585.56,2.103,s0
1589.57,0.416,s0
1594.55,3.645,s2
1598.195,2.085,s1
1601.045,0.211,s1
1601.256,3.857,s2
1605.113,0.808,s0
1607.763,1.297,s1
1609.06,1.435,s1
1610.495,1.403,s2
1619.695,0.796,s0
1630.82,4.048,s0
1638.77,0.953,s1
1639.723,4.055,s1
1650.96,0.39,s1
1656.04,1.04,s2
1657.08,1.891,s1
1658.971,0.599,s0
1659.57,1.251,s1
1661.56,0.39,s1
1662.7,1.03,s3
1664.43,0.81,s2
1665.91,0.456,s1
1666.366,0.594,s2
1667.81,2.54,s2
1670.35,2.23,s1
1672.58,0.583,s3
1679.943,1.488,s3
1693.21,1.603,s0
1696.25,2.233,s1
1702.123,1.017,s1
1703.14,2.81,s0
1705.95,0.43,s2
1707.09,1.29,s0
1709.031,1.109,s0
1710.14,1.03,s1
1711.17,0.94,s0
1712.11,1.58,s1
1713.69,2.161,s0
1715.851,2.059,s1
1718.645,1.191,s1
1721.253,5.717,s1
1731.595,2.18,s1
1734.991,1.409,s1
1736.4,1.445,s0
1738.44,3.1,s3
1742.543,1.867,s0
1748.185,1.391,s3
1750.665,2.74,s0
1764.923,5.888,s0
1772,5.12,s0
1777.87,1.38,s0
1780.29,1.92,s0
1782.85,1.795,s0
1787.355,1.725,s1
1790.668,8.162,s0
1799.393,1.387,s2
1804.296,3.304,s2
1808.74,4.635,s2
1814.111,1.339,s0
1815.45,2.99,s2
1819.44,2.2,s2
1823.07,1.54,s2
1826.99,1.226,s1
1829.325,0.861,s1
1830.186,0.78,s2
1831.86,4.66,s2
1837.19,0.97,s2
1838.83,1.49,s2
1841.19,0.496,s2
1842.086,1.354,s2
1843.44,3.741,s1
1847.181,0.425,s2
1847.606,1.689,s1
1849.295,5.131,s2
1854.426,0.347,s1
1855.065,4.285,s2
1860.36,0.45,s2
1860.81,1.08,s1
1861.89,1.876,s2
1866.191,3.459,s1
1869.65,4.66,s2
1876.66,0.25,s1
1876.91,1.445,s2
1878.355,7.155,s1
1886.401,1.049,s2
1888.37,1.8,s2
1890.92,2.571,s2
1893.491,9.045,s1
1902.536,6.655,s2
1909.191,0.499,s1
1909.69,3.245,s2
1912.935,2.345,s1
1915.94,2.07,s1
1918.56,2.191,s2
1920.751,2.129,s1
1922.88,0.205,s2
1923.085,1.05,s1
1924.135,2.175,s2
1927.18,5.15,s2
1933.37,0.68,s2
1936.33,1.315,s2
1937.645,0.5,s1
1938.92,1.2,s2
1940.65,0.84,s2
1942.54,1.77,s2
1945.605,3.83,s2
1949.435,0.34,s1
1952.295,0.43,s2
1953.09,0.376,s0
1954.803,0.968,s1
1956.76,3.28,s0
1960.04,2.135,s2
1963.313,0.958,s0
1964.638,1.963,s0
1967.921,0.484,s2
1980.285,0.736,s1
1981.826,0.474,s0
1983.05,0.375,s0
1984.206,0.28,s0
1985.625,1.15,s1
1992.091,8.089,s1
2001.19,5.38,s1
2007.86,5.89,s1
2013.75,0.646,s2
2016.198,0.475,s1
2019.42,1.136,s2
2021.911,7.42,s2
2029.331,0.34,s1
2029.671,0.38,s2
2031.96,1.62,s2
2034.49,1.19,s2
2036.78,0.51,s2
2038.251,13.339,s1
2051.59,0.7,s2
2053.135,1.311,s2
2054.446,0.537,s1
2056.441,0.854,s2
2057.295,0.37,s1
2057.983,0.597,s2
2059.376,0.24,s0
2061.016,2.584,s1
2063.6,0.551,s2
2064.151,0.262,s1
2068.218,1.472,s1
2069.69,0.28,s0
2071.896,6.989,s0
2083.475,6.24,s0
2096.171,4.764,s2
2100.935,5.181,s0
2106.116,4.529,s1
2111.375,3.8,s2
2115.675,0.945,s0
2116.62,0.79,s2
2117.41,5.161,s0
2123.066,3.874,s2
2126.94,2.536,s0
2129.476,0.755,s2
2131.498,8.617,s0
2140.115,1.38,s2
2141.495,0.715,s0
2143.23,1.681,s0
2161.165,0.22,s1
2162.01,2.191,s2
2164.201,0.865,s1
2165.818,3.398,s2
2169.216,0.655,s1
2172.94,3.02,s0
2175.96,0.516,s3
2177.078,2.052,s0
2179.13,1.946,s0
2182.475,0.45,s1
2183.225,0.566,s0
2183.791,1.124,s2
2185.553,1.307,s0
2187.81,1.646,s0
2189.456,0.702,s3
2190.158,1.523,s0
2191.681,0.91,s2
2192.591,0.399,s3
2192.99,0.621,s0
2193.611,0.689,s2
2195.311,1.22,s2
2199.335,1.995,s0
2201.33,1.21,s1
2203.35,0.305,s3
2205.135,2.54,s0
2214.83,0.27,s3
2215.706,0.84,s1
2218.418,0.382,s1
2218.8,9.055,s2
2227.855,0.605,s0
2228.46,0.476,s1
2228.936,0.594,s2
2233.035,0.911,s2
2233.946,1.915,s0
2235.861,1.809,s1
2237.67,0.861,s3
2238.531,3.945,s0
2242.476,2.315,s1
2244.791,0.455,s2
2245.246,6.469,s0
2251.715,0.98,s1
2252.695,1.911,s3
2257.731,4.414,s2
2263.698,0.688,s0
2264.386,4.929,s2
2270.385,0.661,s0
2271.046,1.254,s2
2272.3,0.64,s0
2273.836,4.579,s2
2278.415,0.621,s1
2281.425,0.57,s2
2281.995,0.355,s0
2283.865,0.381,s0
2284.246,5.11,s2
2292.693,0.573,s2
2294.266,0.395,s1
2294.661,1.605,s2
2297.165,0.666,s0
2300.498,3.207,s0
2311.57,2.101,s0
2314.681,3.25,s2
2320.01,1.296,s0
2324.08,0.35,s3
2326.75,0.986,s1
2335.355,1.4,s0
2337.695,1.19,s0
2338.885,2.256,s2
2341.141,0.3,s2
2342.543,0.577,s2
2344,0.685,s2
2349.121,2.364,s1
2351.485,1.09,s0
2352.575,1.601,s1
2354.176,1.379,s0
2355.555,1.305,s2
2358.03,5.221,s1
2366.39,1.456,s1
2367.846,2.592,s1
2378.176,3.889,s0
2385.726,0.55,s1
2387.11,2.156,s3
2390.216,1.584,s0
2393.44,2.3,s1
2395.74,3.826,s0
2399.566,2.117,s0
2401.683,2.157,s1
2403.84,2.66,s0
2406.5,1.33,s1
2407.83,2.795,s0
2410.625,0.76,s1
2412.713,3.217,s0
2415.93,1.388,s2
2419.321,0.724,s0
2420.61,0.718,s0
2427.501,0.23,s1
2428.171,0.78,s0
2429.795,0.69,s1
2430.76,0.205,s0
2431.366,0.402,s1
2431.768,0.852,s0
2432.62,0.675,s0
2437.285,1.071,s1
2441.013,0.742,s0
2441.755,0.5,s0
2442.255,1.32,s3
2443.575,0.636,s1
2444.211,2.055,s1
2447.548,0.7,s1
2448.68,0.641,s1
2450.933,1.52,s2
2452.453,3.47,s1
2455.923,1.168,s3
2458.016,0.55,s2
2459.446,2.895,s0
2463.62,2.418,s1
2466.038,2.09,s1
2468.811,0.57,s1
2481.72,1.14,s0
2484.041,0.35,s3
2485.595,2.256,s2
2487.851,0.51,s1
2490.525,3.785,s3
2494.31,0.92,s0
2495.23,3.871,s3
2499.851,0.55,s0
2501.548,0.922,s0
2502.931,1.534,s0
2506.84,3.411,s2
2512.071,0.547,s0
2512.618,2.997,s0
2515.615,1.085,s2
2517.211,1.074,s1
2518.285,0.78,s2
2519.71,1.245,s1
2529.265,2,s0
2532.145,2.565,s0
2535.35,7.84,s1
2552.166,8.255,s2
2560.421,4.855,s2
2565.276,0.54,s0
2566.923,5.437,s0
2572.36,1.53,s1
2573.89,3.441,s0
