subject,start,end,time,target
s0,0.128,3.088,2.96,wb
s0,3.088,4.662,1.574,s3
s0,4.662,6.968,2.306,s3
s0,6.968,11.825,4.857,tool
s0,11.825,13.246,1.421,s2
s0,13.246,16.75,3.504,wb
s0,17.957,20.886,2.929,s3
s0,20.886,23.957,3.071,s2
s0,23.957,26.08,2.123,tool
s0,26.08,40.997,14.917,tool
s0,40.997,45.563,4.566,wb
s0,45.563,129.338,83.775,tool
s0,129.338,130.393,1.055,wb
s0,130.393,135.426,5.033,tool
s0,135.426,136.433,1.007,wb
s0,136.433,184.981,48.548,tool
s0,184.981,187.46,2.479,s4
s0,187.46,245.1,57.64,tool
s0,245.1,251.2,6.1,wb
s0,251.429,253.996,2.567,s3
s0,253.996,262.392,8.396,wb
s0,262.392,265.45,3.058,tool
s0,265.45,269.762,4.312,s4
s0,269.762,272.143,2.381,wb
s0,272.143,278.444,6.301,tool
s0,278.444,280.448,2.004,s3
s0,280.448,281.517,1.069,wb
s0,281.517,284.917,3.4,s3
s0,284.917,286.975,2.058,wb
s0,286.975,302.457,15.482,tool
s0,302.457,304.027,1.57,wb
s0,304.027,353.064,49.037,tool
s0,353.064,361.4,8.336,wb
s0,361.4,365.846,4.446,s3
s0,365.846,379.19,13.344,s4 tool
s0,379.19,400.13,20.94,tool
s0,400.15,402.011,1.861,wb
s0,402.011,402.589,0.578,wb
s0,402.589,405.16,2.571,tool
s0,405.16,412.368,7.208,tool
s0,412.368,416.421,4.053,wb
s0,416.421,488.683,72.262,tool
s0,488.683,491.464,2.781,wb
s0,491.464,579.68,88.216,tool
s0,579.68,582.75,3.07,wb
s0,582.75,586.488,3.738,wb
s0,586.488,588.689,2.201,s3
s0,588.689,589.605,0.916,tool
s0,589.605,603.796,14.191,tool
s0,603.796,611.901,8.105,s3
s0,611.901,612.772,0.871,s4
s0,612.772,621.133,8.361,tool
s0,621.133,622.041,0.908,wb
s0,622.041,624.706,2.665,wb
s0,624.706,632.912,8.206,tool
s0,632.912,633.932,1.02,s2
s0,633.932,671.108,37.176,tool
s0,671.108,671.964,0.856,s3
s0,671.964,673.637,1.673,s3
s0,673.637,680.361,6.724,tool
s0,680.361,681.866,1.505,wb
s0,681.866,685.421,3.555,s3
s0,685.421,688.599,3.178,tool
s0,688.599,691.4,2.801,wb
s0,691.4,694.016,2.616,tool
s0,694.016,699.452,5.436,wb
s0,699.452,700.261,0.809,s3
s0,700.261,718.622,18.361,wb
s0,718.622,729.3,10.678,s2
s0,729.3,736.529,7.229,s3
s0,736.529,738.994,2.465,wb
s0,738.994,760.033,21.039,tool
s0,760.033,766.234,6.201,wb
s0,766.234,781.379,15.145,tool
s0,781.379,782.248,0.869,wb
s0,782.248,784.287,2.039,wb
s0,784.287,796.885,12.598,tool
s0,796.885,798.859,1.974,wb
s0,798.859,803.481,4.622,wb
s0,803.481,864.553,61.072,tool
s0,864.553,870.945,6.392,wb
s0,870.945,901.134,30.189,tool
s0,901.134,909.264,8.13,wb
s0,909.264,916.892,7.628,tool
s0,916.892,922.164,5.272,wb
s0,922.164,935.391,13.227,wb
s0,935.391,937.295,1.904,s4
s0,937.295,940.235,2.94,tool
s0,940.235,941.359,1.124,wb
s0,941.359,949.572,8.213,s2
s0,949.572,1007.623,58.051,tool
s0,1007.623,1015.072,7.449,wb
s0,1015.072,1025.704,10.632,s2
s0,1025.704,1027.437,1.733,wb
s0,1027.437,1029.334,1.897,s2
s0,1029.334,1052.771,23.437,wb
s0,1052.771,1055.151,2.38,s2
s0,1055.151,1064.909,9.758,wb
s0,1064.909,1067.654,2.745,s4
s0,1067.654,1076.924,9.27,wb
s0,1076.924,1084.158,7.234,wb
s0,1084.158,1085.182,1.024,wb
s0,1085.182,1089.719,4.537,wb
s0,1089.719,1093.009,3.29,s2
s0,1093.009,1146.083,53.074,wb
s0,1146.083,1155.039,8.956,tool
s0,1155.039,1156.754,1.715,s1
s0,1156.754,1161.244,4.49,tool
s0,1161.244,1162.352,1.108,wb
s0,1162.352,1164.397,2.045,tool
s0,1164.397,1171.895,7.498,s1
s0,1171.895,1176.261,4.366,wb
s0,1176.261,1203.124,26.863,
s0,1203.124,1236.647,33.523,tool
s0,1236.647,1246.678,10.031,s1
s0,1246.678,1250.993,4.315,wb
s0,1250.993,1252.151,1.158,tool
s0,1252.151,1344.836,92.685,tool
s0,1344.836,1345.897,1.061,wb
s0,1345.897,1351.453,5.556,tool
s0,1351.453,1360.55,9.097,wb
s0,1360.55,1362.447,1.897,s3
s0,1362.447,1364.344,1.897,wb
s0,1364.344,1445.7,81.356,wb
s0,1445.7,1446.58,0.88,s3
s0,1446.58,1468.031,21.451,wb
s0,1468.031,1468.996,0.965,s3
s0,1468.996,1507.587,38.591,wb
s0,1507.587,1508.35,0.763,s1
s0,1508.35,1573.945,65.595,wb
s0,1573.945,1584.04,10.095,tool
s0,1584.04,1587.069,3.029,wb
s0,1587.069,1590.657,3.588,tool
s0,1590.657,1593.973,3.316,wb
s0,1593.973,1597.541,3.568,exp
s0,1597.541,1601.876,4.335,wb
s0,1601.876,1602.595,0.719,s2
s0,1602.595,1609.104,6.509,wb
s0,1609.104,1611.333,2.229,s3
s0,1611.333,1614.253,2.92,wb
s0,1614.253,1617.923,3.67,s2
s0,1617.923,1619.476,1.553,s3
s0,1619.476,1622.419,2.943,s2
s0,1622.419,1641.812,19.393,wb
s0,1641.812,1642.765,0.953,s4
s0,1642.765,1643.848,1.083,wb
s0,1643.848,1659.482,15.634,wb
s0,1659.482,1670.441,10.959,tool
s0,1670.441,1672.931,2.49,wb
s0,1672.931,1677.449,4.518,tool
s0,1677.449,1682.585,5.136,wb
s0,1682.585,1697.518,14.933,tool
s0,1697.518,1701.212,3.694,wb
s0,1701.212,1702.212,1,s1
s0,1702.212,1716.098,13.886,tool
s0,1716.098,1737.612,21.514,wb
s0,1737.612,1740.892,3.28,tool
s0,1740.892,1752.301,11.409,wb
s0,1752.301,1755.005,2.704,s2
s0,1755.005,1758.615,3.61,wb
s0,1758.615,1760.468,1.853,tool
s0,1760.468,1762.698,2.23,s3
s0,1762.698,1764.123,1.425,wb
s0,1764.123,1766.877,2.754,s2
s0,1766.877,1769.116,2.239,tool
s0,1769.116,1772.505,3.389,s2
s0,1772.505,1775.451,2.946,wb
s0,1775.451,1779.592,4.141,s2
s0,1779.592,1783.313,3.721,wb
s0,1783.313,1784.993,1.68,s2
s0,1784.993,1787.3,2.307,tool
s0,1787.3,1789.734,2.434,s2
s0,1789.734,1798.737,9.003,tool
s0,1798.737,1799.922,1.185,s2
s0,1799.922,1801.175,1.253,tool
s0,1801.175,1802.345,1.17,wb
s0,1802.345,1805.545,3.2,wb
s0,1805.545,1815.81,10.265,wb
s0,1815.81,1825.227,9.417,tool
s0,1825.227,1828.035,2.808,wb
s0,1828.035,1847.01,18.975,tool
s0,1847.01,1850.129,3.119,wb
s0,1850.129,1870.295,20.166,tool
s0,1870.295,1874.952,4.657,wb
s0,1874.952,1878.46,3.508,s2
s0,1878.46,1881.179,2.719,s3
s0,1881.179,1884.92,3.741,tool
s0,1884.92,1890.952,6.032,wb
s0,1890.952,1892.638,1.686,s3
s0,1892.638,1895.828,3.19,wb
s0,1895.828,1899.221,3.393,tool
