subject,start,end,time,target
s0,332.94,333.974,1.034,wb
s0,334.179,335.201,1.022,wb
s0,335.365,335.609,0.244,tool
s0,337.337,337.489,0.152,wb
s0,338.654,338.789,0.135,s2
s0,338.942,344.37,5.428,s1
s0,345.107,345.978,0.871,wb
s0,346.159,347.063,0.904,tool
s0,347.199,347.743,0.544,wb
s0,348.41,353.118,4.708,wb
s0,353.962,362.109,8.147,s2
s0,362.252,364.928,2.676,wb
s0,365.078,367.228,2.15,tool
s0,367.375,372.563,5.188,s2
s0,372.705,373.579,0.874,s2
s0,373.734,382.83,9.096,s2
s0,382.989,386.421,3.432,tool
s0,386.568,390.48,3.912,s2
s0,390.62,394.024,3.404,s0
s0,394.167,398.671,4.504,tool
s0,398.822,401.712,2.89,wb
s0,401.859,403.937,2.078,s2
s0,404.077,406.309,2.232,tool
s0,406.473,409.222,2.749,wb
s0,409.431,411.465,2.034,s2
s0,411.626,429.95,18.324,wb
s0,430.342,434,3.658,wb
s0,434.143,442.04,7.897,s2
s0,1849.98,1863.27,13.29,s2
s0,1863.445,1866.19,2.745,wb
s0,1866.239,1868.226,1.987,s1
s0,1868.391,1870.032,1.641,tool
s0,1870.032,1880.03,9.998,s1
s0,1880.03,1931.91,51.88,tool
s1,332.94,342.754,9.814,tool
s1,342.76,343.44,0.68,s0
s1,343.44,442.07,98.63,tool
s1,1849.96,1853.845,3.885,wb
s1,1853.845,1856.923,3.078,s2
s1,1857.094,1857.838,0.744,wb
s1,1858.217,1860.561,2.344,s2
s1,1860.948,1866.583,5.635,wb
s1,1866.742,1874.237,7.495,s2
s1,1874.399,1878.076,3.677,wb
s1,1878.249,1890.25,12.001,s2
s1,1890.41,1895.244,4.834,wb
s1,1895.409,1907.69,12.281,s2
s1,1907.887,1909.965,2.078,tool
s1,1910.173,1919.221,9.048,s2
s1,1919.38,1922.885,3.505,s2
s1,1924.564,1926.749,2.185,wb
s1,1926.921,1932.173,5.252,wb
s2,332.95,335.479,2.529,wb
s2,335.646,337.253,1.607,s0
s2,337.411,356.86,19.449,wb
s2,356.89,360.05,3.16,s2
s2,360.11,370.1,9.99,wb
s2,370.316,372.69,2.374,wb
s2,372.845,392.964,20.119,s0
s2,393.146,394.334,1.188,tool
s2,394.494,429.9,35.406,wb
s2,429.998,434.248,4.25,s0
s2,434.3,438.783,4.483,wb
s2,438.912,441.93,3.018,s0
s2,1849.938,1853.506,3.568,wb
s2,1853.627,1866.48,12.853,s1
s2,1866.706,1867.684,0.978,tool
s2,1867.847,1868.802,0.955,wb
s2,1868.955,1877.377,8.422,wb
s2,1877.584,1888.901,11.317,s1
s2,1889.129,1893.426,4.297,wb
s2,1893.619,1900.448,6.829,s1
s2,1900.9,1902.11,1.21,s1
s2,1902.307,1906.87,4.563,tool
s2,1907.078,1912.56,5.482,s1
s2,1912.725,1913.634,0.909,s1
s2,1913.824,1919.327,5.503,s1
s2,1919.529,1920.952,1.423,s1
s2,1921.125,1924.767,3.642,tool
s2,1924.969,1931.957,6.988,wb
s3,333,334.99,1.99,tool
s3,334.99,338.03,3.04,s0
s3,338.03,368.05,30.02,tool
s3,368.05,372,3.95,s0
s3,372,377.11,5.11,wb
s3,377.11,378.93,1.82,tool
s3,378.93,416,37.07,tool
s3,416.05,442.04,25.99,wb
s3,1849.92,1860.875,10.955,s2
s3,1861.016,1870.034,9.018,s1
s3,1870.034,1873.883,3.849,wb
s3,1873.883,1890.9,17.017,s1
s3,1890.9,1896.99,6.09,wb
s3,1896.99,1903.87,6.88,s1
s3,1903.87,1906.01,2.14,s2
s3,1906.01,1916.03,10.02,tool
s3,1921.85,1924.971,3.121,s1
s3,1925.177,1926.972,1.795,wb
s3,1927.096,1931.041,3.945,wb
s3,1931.041,1931.972,0.931,s2
