subject,start,end,time,target
s0,647.605,648.092,0.487,tool
s0,648.48,663.501,15.021,tool
s0,663.52,665.105,1.585,wb
s0,665.15,673.95,8.8,tool
s0,674.03,674.757,0.727,wb
s0,675.998,677.08,1.082,exp
s0,678.101,685.827,7.726,tool
s0,686.552,689.546,2.994,s2
s0,690.087,691.004,0.917,wb
s1,648.837,652.267,3.43,s0
s1,652.29,654.464,2.174,wb
s1,654.914,665.273,10.359,wb
s1,668.42,674.777,6.357,wb
s1,675.003,675.301,0.298,s0
s1,675.677,678.409,2.732,exp
s1,678.811,682.815,4.004,wb
s1,683.154,683.421,0.267,wb
s1,683.785,690.694,6.909,wb
s2,647.6,649.537,1.937,s0
s2,649.543,653.639,4.096,wb
s2,653.639,655.189,1.55,tool
s2,655.448,664.756,9.308,wb
s2,664.967,666.223,1.256,tool
s2,666.545,667.787,1.242,tool
s2,668.657,677.458,8.801,wb
s2,677.663,680.229,2.566,s0
s2,680.521,686.525,6.004,s0
s2,686.739,688.924,2.185,s0
s2,689.176,690.948,1.772,tool
s3,647.553,650.716,3.163,s0
s3,650.944,652.608,1.664,s0
s3,652.663,653.778,1.115,tool
s3,653.843,655.743,1.9,s0
s3,655.778,664.201,8.423,wb
s3,664.201,665.614,1.413,s0
s3,665.868,676.561,10.693,wb
s3,676.585,679.688,3.103,s0
s3,680.04,686.599,6.559,wb
s3,686.852,690.123,3.271,s0
s3,690.412,690.769,0.357,wb
