tStart,time,subject
1262.078,4.226,s1
1266.304,1.893,s2
1268.197,0.433,s1
1269.176,1.976,s1
1272.368,1.359,s1
1273.966,1.839,s2
1276.401,1.025,s0
1277.803,2.944,s1
1280.747,3.565,s0
1284.312,6.103,s1
1296.347,2.301,s1
1299.184,6.276,s3
1305.46,6.685,s1
1312.957,11.381,s1
1326.509,8.028,s1
1335.533,3.908,s0
1341.689,1.111,s1
1342.801,1.324,s3
1346.391,0.877,s1
1347.268,0.832,s0
1348.105,0.63,s3
1348.735,0.57,s1
1349.305,1.429,s3
1351.975,5.617,s1
1358.172,1.569,s3
1359.741,2.966,s0
1365.233,0.71,s0
1366.441,2.167,s1
1368.845,3.76,s3
1372.925,0.521,s1
1373.766,1.054,s0
1374.82,8.576,s1
1386.504,4.073,s3
1391.473,2.163,s1
1393.982,1.898,s1
1396.353,1.845,s1
1398.732,1.262,s3
1400.949,2.98,s3
1404.222,4.439,s0
1409.019,4.855,s2
1415.438,11.923,s0
1427.606,1.789,s3
1429.599,3.561,s0
1433.701,4.232,s1
1438.491,6.071,s1
1444.562,5.354,s3
1449.916,4.458,s0
1454.734,4.066,s1
1458.836,7.014,s3
1465.85,1.379,s0
1467.229,0.759,s1
1467.988,2.964,s3
1471.062,2.803,s1
1473.865,4.835,s3
1478.718,7.031,s1
1486.88,5.758,s1
1492.638,2.819,s0
1495.457,5.155,s1
1500.637,2.49,s1
1503.127,6.973,s3
1510.104,1.567,s0
1511.671,1.807,s2
1514.146,2.472,s3
1516.618,1.448,s3
1522.179,3.799,s2
1526.492,13.261,s1
1542.514,14.106,s2
1556.62,2.6,s1
1559.22,16.529,s2
1575.749,13.05,s3
1588.799,1.306,s2
1590.617,3.239,s2
1594.323,4.451,s1
1601.042,4.669,s3
1611.035,6.042,s1
1617.312,2.129,s0
1619.711,2.968,s3
1623.813,9.387,s2
1633.2,10,s2
1643.2,10.461,s2
1653.661,7.779,s0
1661.44,2.78,s2
1664.773,2.896,s1
1667.669,5.748,s0
1673.797,0.608,s2
1675.731,11.663,s3
1687.394,2.642,s0
1690.394,2.188,s3
1692.906,2.811,s1
1696.087,4.37,s0
1701.064,4.678,s1
1706.342,6.673,s1
1713.47,8.264,s0
1722.402,7.951,s0
1730.805,9.274,s1
1740.479,7.433,s2
1752.632,8.957,s1
1762.177,7.917,s0
1770.54,2.77,s3
1773.653,5.047,s3
1778.7,5.52,s0
1785.87,0.564,s1
1786.829,0.663,s1
1790.877,6.242,s1
1797.419,3.088,s1
1812.53,8.665,s2
1821.195,2.858,s1
1825.082,1.471,s3
1826.825,4.895,s0
1832.275,5.317,s1
1838.127,4.332,s2
1842.459,7.863,s0
1850.509,15.285,s0
1865.794,4.741,s2
1870.843,4.087,s1
1876.556,6.426,s0
1883.325,5.534,s1
1889.175,4.564,
1893.739,5.761,s1
1899.525,3.233,s2
1903.09,1.803,s0
1905.261,2.512,s1
1908.465,4.378,s0
1913.56,1.285,s2
1915.565,3.223,s2
1919.029,2.199,s0
1921.802,2.995,s1
1927.114,3.092,s1
1931.276,1.945,s1
1933.221,3.449,s3
1936.67,4.145,s3
1941.319,6.181,s3
1947.5,0.792,s3
1948.292,11.156,s0
1959.448,6.835,s1
1967.335,5.825,s1
1974.422,3.872,s0
1979.287,6.11,s1
1985.744,0.702,s2
1987.181,9.326,s1
1996.881,2.161,s2
1999.301,3.345,s0
2020.776,7.896,s3
2028.672,1.705,s1
2033.299,1.241,s3
2040.862,4.123,s1
2051.764,6.393,s0
2059,1.692,s3
2062.882,2.265,s0
2067.061,1.549,s3
2072.097,4.264,s1
2076.361,2.731,s0
2079.092,4.04,s3
2084.66,4.988,s0
2090.1,6.3,s1
2096.96,1.777,s1
2098.737,3.034,s0
2101.771,1.709,s3
2103.48,5.946,s3
2112.1,15.1,s1
2130.135,6.89,s1
2162.941,3.584,s0
2166.525,3.489,s3
2170.316,11.644,s0
2184.129,1.238,s3
2187.985,4.957,s0
2193.472,2.164,s1
2196.349,3.44,s0
2199.789,8.061,s3
2208.57,10.688,s1
2220.719,5.595,s3
2227.756,3.301,s0
2231.382,3.758,s1
2235.741,5.482,s3
2242.028,2.897,s3
2249.204,4.514,s1
2253.718,8.466,s3
2262.464,3.036,s3
2265.5,6.5,s3
2272,3.401,s0
2275.401,2.31,s1
2282.275,2.725,s2
2285.008,4.148,s0
2291.739,3.608,s3
2296.893,5.962,s1
2306.872,10.604,s0
2317.836,8.624,s1
2326.736,3.181,s3
2330.172,17.328,s2
2347.528,2.001,s2
2349.529,1.121,s3
2350.65,15.464,s1
2366.4,7.669,s1
2375.421,1.701,s1
2379.317,4.262,s1
2383.825,0.585,s0
2387.505,5.477,s0
2393.285,4.697,s3
2398.383,0.972,s0
2399.701,5.465,s1
2408.364,6.136,s1
2414.509,9.991,s3
2424.5,1.751,s0
2429.667,2.733,s1
2433.447,4.798,s1
2438.581,3.509,s0
2442.457,9.662,s3
2453.101,3.22,s3
2456.647,5.221,s1
2462.364,2.136,s3
2464.543,3.362,s1
2479.969,2.312,s1
2486.913,1.156,s0
2493.089,9.811,s1
2502.9,6.904,s1
2510.937,3.491,s0
2517.862,4.988,s3
2526.182,1.865,s1
2530.725,8.075,s3
2565.108,4.484,s1
2572.9,5.091,s1
2578.719,2.739,s3
2582.683,1.187,s2
2584.167,3.527,s3
2588.338,8.47,s3
2597.078,5.919,s1
2605.699,3.709,s1
2609.65,4.35,s0
2614.085,0.708,s3
2615.499,5.301,s1
2620.833,1.642,s1
2626.158,4.286,s3
2632.738,3.145,s1
2636.581,7.734,s0
2645.094,5.185,s1
2658.99,1.296,s1
2660.705,2.894,s3
2664.05,4.148,
2668.601,4.543,s3
