tStart,time,subject
1203.72,0.46,s0
1204.98,1.52,s0
1208.06,0.96,s1
1210.4,0.86,s1
1211.98,1.1,s0
1218.1,1.26,s0
1224.88,2.22,s0
1230.14,1.32,s3
1231.46,0.67,s0
1232.13,5.36,s0
1237.49,0.38,s1
1237.87,4.28,s0
1242.15,11.21,s3
1253.36,3.86,s1
1257.96,1.26,s0
1260.72,4.62,s0
1266.16,5.57,s0
1271.73,4.79,s2
1277.28,1.12,s2
1279.88,2.38,s2
1283.1,4.58,s2
1287.68,3.44,s0
1291.12,3.28,s2
1295.4,2.34,s2
1298.7,4.68,s2
1304.36,8.84,s1
1313.92,11.12,s1
1325.96,0.26,s2
1327.08,1.26,s1
1329.14,3.18,s1
1333.08,0.3,s1
1334.24,1.42,s1
1336.54,1.54,s1
1339.14,1.74,s0
1341.64,1.12,s0
1342.76,3.44,s1
1347.54,1.72,s1
1350.24,5.88,s0
1361.28,1.06,s2
1362.34,1.08,s0
1365.08,0.6,s0
1366.66,3.82,s0
1371.38,0.46,s1
1371.84,1.28,s0
1373.12,1.49,s2
1374.61,2.95,s0
1379.72,1.8,s2
1381.52,3.59,s0
1385.11,2.05,s1
1388.64,1.26,s1
1390.68,2.76,s1
1396.1,3.14,s2
1403.14,4.56,s0
1413.96,3.78,s0
1418.8,2,s0
1420.8,5.96,
1426.76,3.16,s1
1433.46,3.5,s0
1438.02,1.26,s0
1445.8,1.02,s0
1449.64,1.02,s1
1451.7,2.56,s1
1455.26,2.08,s0
1459.06,1.48,s0
1462.98,7.42,s0
1471.9,7.24,s0
1479.14,11.08,s1
1491.42,9.46,s0
1501.78,0.3,s2
1502.8,4.28,s1
1507.08,0.98,s1
1508.8,0.76,s1
1509.56,0.8,s0
1511.22,1.26,s0
1513.6,9.1,s2
1523.56,6.35,s2
1529.91,0.87,s0
1532.26,2.67,s2
1534.93,0.83,s1
1536.64,3.12,s0
1540.5,20.48,s0
1561.84,2.46,s1
1564.3,7.25,s0
1571.55,2.53,s1
1575.64,3.56,s1
1580.9,1.3,s2
1583.54,0.76,s1
1588.32,1.68,s2
1590,3.96,s1
1593.96,2.49,s0
1596.45,3.16,s0
1599.61,5.29,s2
1604.9,2.58,s1
1607.48,2.56,s0
1612.08,3.14,s0
1616.44,2.9,s0
1621.34,3.8,s0
1625.14,15.42,s1
1650.32,2.14,s2
1653.22,3.14,s2
1656.36,7.24,s1
1664.36,3.3,s2
1675.56,3.08,s1
1679.4,7.42,s0
1687.6,2.1,s0
1689.7,3.44,s1
1693.14,4.76,s0
1697.9,0.86,s1
1698.76,4.34,s0
1705.32,5.86,s0
