tStart,time,subject
1197.288,0.769,s1
1198.607,4.082,s3
1203.453,4.985,s1
1208.911,5.999,s1
1214.924,2.125,s0
1219.169,0.822,s1
1221.78,4.58,s1
1226.37,0.248,s0
1226.618,3.668,s1
1230.295,0.397,s0
1237.307,1.958,s1
1240.031,0.552,s3
1240.821,0.36,s1
1241.536,0.49,s3
1242.828,1.748,s0
1249.627,0.4,s0
1253.845,0.47,s0
1254.645,0.21,s1
1255.505,0.32,s0
1255.825,3.952,s1
1261.207,5.705,s0
1266.939,0.52,s1
1267.469,3.085,s3
1270.554,6.504,s1
1278.533,9.646,s3
1288.735,0.984,s0
1289.731,4.826,s3
1295.827,13.409,s0
1309.756,3.909,s3
1315.992,0.825,s0
1316.817,2.618,s3
1319.435,6.255,s0
1327.123,4.507,s0
1331.692,2.77,s2
1335.137,3.79,s1
1339.45,5.625,s3
1345.075,8.797,s1
1354.142,2.203,s3
1356.911,1.676,s0
1358.587,0.702,s3
1359.289,2.456,s1
1361.745,4.241,s0
1365.986,0.93,s3
1366.916,0.806,s0
1368.174,0.386,s3
1368.65,2.457,s1
1371.817,1.676,s1
1373.493,1.128,s1
1374.621,0.846,s0
1375.637,2.773,s3
1378.41,0.707,s1
1382.087,2.104,s0
1384.41,2.854,s1
1387.264,1.412,s3
1388.676,4.872,s1
1395.283,0.37,s3
1396.425,5.158,s0
1403.386,0.574,s3
1404.086,0.46,s0
1405.45,0.92,s1
1408.165,0.371,s0
1408.62,2.35,s1
1412.416,1.164,s1
1413.795,1.835,s0
1417.15,1.59,s2
1419.56,1.616,s1
1423.135,1.55,s1
1427.725,1.06,s0
1431.46,1.62,
1435.526,2.879,s3
1439.906,0.852,s3
1441.131,1.48,s3
1442.991,0.572,s1
1444.121,1.075,s3
1445.54,4,s1
1449.605,1.205,s0
1451.38,4.65,s1
1456.39,1.156,s0
1457.82,1.448,s1
1459.655,1.385,s0
1461.116,0.33,s1
1461.48,0.71,s0
1465.28,2.245,s1
1467.666,2.659,s0
1470.79,2.011,s0
1502.085,1.945,s2
1504.085,0.325,s0
1504.495,4.865,s1
1510.835,6.745,s0
1518.901,0.65,s1
1520.191,1.234,s0
1521.5,1.29,s3
1522.84,1.31,s2
1524.77,1.155,s0
1526.08,1.35,s3
1527.57,3.03,s0
1531.16,0.948,s3
1533.2,0.985,s0
1534.555,1.87,s1
1538.556,4.804,s3
1543.765,0.61,s2
1544.405,24.695,s1
1569.51,1.32,s3
1570.93,2.845,s1
1573.825,1.673,s3
1575.925,3.175,s1
1581.94,0.77,s0
1591.14,15.64,s1
1606.855,0.595,s3
1607.501,1.19,s1
1608.826,0.39,s1
1609.336,0.345,s3
1609.921,7.379,s1
1622.125,5.986,s0
1628.455,0.85,s1
1629.405,0.315,s0
1629.825,1.03,s0
1630.925,2.655,s1
1635.526,0.75,s0
1642.31,0.946,s1
1643.696,1.409,s2
1646.74,3.221,s1
1650.655,1.161,s1
1653.955,1.08,s1
1656.065,2.68,s0
1660.801,3.219,s0
1664.781,2.859,s1
1668.405,0.648,s1
1669.63,0.6,s2
1675.068,8.692,s0
1683.81,2.6,s1
1686.745,1.21,s0
1688.12,1.57,s1
1689.79,1.615,s0
1691.47,5.216,s1
1697.051,1.749,s0
1698.94,8.42,s1
1707.62,0.51,s0
1718.566,2.664,s0
1722.515,1.295,s0
1724.72,1.13,s1
1729.93,1.46,s3
1731.42,6.93,s1
1746.19,3.87,s0
1750.085,0.905,s1
1751.73,1.26,s1
1758.571,1.209,s0
1759.815,1.05,s1
1761.576,3.64,s1
1765.375,1.575,s0
1767.09,3.58,s1
1773.365,0.86,s1
1776.05,0.978,s2
1777.053,3.682,s1
1781.285,2.26,s1
1783.6,11.18,s0
1795.135,3.98,s3
1800.115,4.335,s0
1804.485,0.39,s1
1805.065,4.515,s0
1809.611,4.049,s3
1813.73,5.14,s1
1820.311,3.889,s1
1824.5,0.84,s0
1825.44,0.18,s2
1826.1,3.015,s0
1829.44,1.44,s2
1831.31,1.84,s0
1837.415,9.41,s0
1848.125,3.788,s2
1852.151,1.499,s1
1854.205,2.056,s2
1860.875,8.108,s0
1873.09,2.645,s1
1875.8,0.69,s1
1876.55,0.84,s3
1877.44,2.238,s0
1880.205,11.071,s1
1917.735,0.37,s3
1918.175,0.55,s1
1928.616,6.155,s1
1935.641,7.329,s0
1943.07,2.206,s1
1946.475,0.39,s1
1953.19,0.82,s1
1954.566,0.66,s3
1955.475,0.51,s1
1964.691,0.904,s0
1965.695,0.921,s1
1967.355,0.72,s0
1973.5,2.46,s1
1977.27,1.19,s0
1983.08,0.57,s1
1984.18,0.53,s2
1984.78,0.74,s1
1986.896,0.495,s1
1987.91,0.77,s2
1988.83,0.31,s1
1991.065,7.91,s2
2000.126,1.979,s0
2003.096,0.31,s0
2004.186,3.125,s1
2010.155,14.225,s3
2025.605,0.21,s0
2026.38,3.66,s0
2030.08,0.98,s3
2032.216,10.024,s0
2042.315,1.958,s3
2046.505,11.568,s2
2059.85,0.93,s1
2060.81,0.24,s0
2061.3,6.02,s1
2067.36,0.3,s2
2069.405,2.063,s0
2079.475,1.436,s0
2082.12,2.82,s1
2085.911,1.279,s1
2102.485,1.668,s1
2118.81,0.4,s0
2123.661,1.869,s2
2127.011,0.32,s1
2127.371,0.854,s0
2132.871,13.364,s1
2147.136,3.324,s0
2158.07,4.39,s0
2163.33,0.485,s1
2163.92,5.82,s1
2197.681,0.865,s0
2199.25,1.28,s2
2200.656,4.884,s3
2205.76,1.29,s2
2207.09,3.008,s3
2213,3.63,s2
2216.745,2.105,s3
2219.595,4.575,s2
2224.2,0.42,s0
2225.075,13.495,s1
2238.791,9.469,s3
2248.775,1.07,s0
2250.33,0.28,s1
2250.66,0.965,s0
2251.796,2.784,s3
2254.651,0.47,s0
2255.201,10.34,s1
2266.301,1.889,s3
2271.34,2.016,s0
2274.901,3.352,s1
2278.596,1,s0
2279.625,1.626,s3
2283.3,5.245,s0
2289.605,0.34,s1
2295.18,0.69,s2
2300.87,17.04,s0
2319.04,1.76,s1
2323.625,3.971,s1
2328.68,4.12,s2
2332.935,1.461,s1
2337.215,1.605,s3
2339.62,1.491,s1
2341.98,0.61,s0
2343.566,1.504,s3
2347.56,1.04,s0
2348.64,7.925,s1
2374.28,0.78,s3
2377.5,2.05,s0
