tStart,time,subject
2185.27,3.031,s1
2188.301,4.629,s1
2192.94,1.735,s0
2194.675,1.668,s1
2196.343,2.557,s0
2200.838,10.043,s0
2210.881,2.447,s2
2213.328,1.125,s1
2214.453,7.767,s2
2223.248,9.102,s3
2232.35,4.196,s3
2236.546,3.424,s3
2239.97,2.14,s2
2242.11,4.11,s0
2246.22,8.543,s2
2254.763,2.55,s2
2257.313,2.052,s0
2259.365,4.803,s2
2264.168,3.175,s2
2267.343,9.643,s2
2279.065,3.998,s2
2283.063,3.805,s1
2286.868,1.468,s0
2288.336,4.414,s0
2292.75,6.975,s2
2299.725,8.186,s3
2307.911,1.229,s2
2309.14,5.51,s3
2314.65,1.946,s2
2318.34,4.6,s3
2323.65,3.94,s0
2329.45,3.115,s3
2332.565,5.473,s0
2338.038,4.53,s1
2342.568,8.035,s1
2362.45,2.15,s0
2364.6,4.161,s1
2374.958,5.737,s0
2380.695,4.086,s1
2384.781,1.049,s0
2385.83,1.37,s1
2387.2,0.933,s0
2388.133,5.938,s0
2401.431,7.147,s3
2421.026,4.934,s0
2436.041,8.662,s2
2446.746,6.594,s2
2453.34,2.573,s1
2455.913,5.572,s2
2461.485,6.06,s0
2467.545,3.018,s2
2470.563,2.43,s2
2475.231,1.62,s0
2476.851,2.349,s1
2479.2,2.34,s2
2481.54,4.106,s3
2485.646,4.977,s3
2490.623,7.555,s0
2498.178,15.102,s0
2513.28,8.431,s3
2521.711,2.685,s2
2524.396,9.175,s3
2539.57,4.458,s1
2549.38,10.968,s0
2566.051,5.09,s1
2571.141,9.182,s0
2592.456,8.594,s1
2603.22,3.08,s1
2610.95,3.28,s0
2614.23,3.988,s1
2618.218,4.762,s1
2626.06,3.88,s0
2632.35,1.936,s1
2634.286,2.58,s2
