tStart,time,subject
2212.842,7.417,s3
2227.98,3.992,s3
2233.786,3.704,s1
2239.208,3.79,s1
2245.418,1.629,s0
2249.949,15.155,s1
2265.587,11.91,s3
2277.711,3.345,s1
2281.568,24.217,s3
2326.779,11.039,s1
2338.787,8.28,s1
2348.148,2.462,s1
2351.885,3.885,s1
2357.126,3.179,s3
2360.906,10.298,s3
2371.715,2.986,s3
2374.96,2.347,s1
2378.147,1.854,s0
2380.188,4.348,s2
2385.772,2.803,s3
2389.877,3.321,s3
2394.238,5.771,s1
2400.319,2.601,s3
2403.415,6.193,s0
2409.954,4.731,s3
2417.203,5.807,s3
2428.715,1.988,s3
2431.79,1.693,s0
2433.9,2.466,s0
2436.636,5.644,s1
2442.5,3.702,s3
2446.423,1.53,s3
2448.399,4.378,s1
2453.08,4.732,s3
2458.257,2.964,s2
2461.499,6.889,s3
2468.639,11.65,s1
2480.494,2.159,s3
2482.896,2.114,s1
2485.337,3.552,s3
2489.305,1.136,s1
2491.241,4.567,s3
2496.979,3.137,s3
2500.397,2.928,s1
2503.476,2.055,s1
2505.821,2.672,s0
2509.237,2.409,s3
2513.212,3.083,s3
2516.641,0.704,s1
2518.201,3.377,s3
2523.166,1.924,s0
2526.363,5.14,s3
2531.752,2.477,s3
2534.581,1.304,s3
2536.687,3.352,s1
2540.43,1.872,s3
2543.937,7.452,s3
2552.082,3.426,s0
2555.707,5.819,s1
2563.926,5.679,s2
2570.129,5.016,s1
2576.992,1.654,s3
2580.369,3.398,s3
2592.397,3.809,s2
2597.182,1.574,s2
2599.415,1.28,s3
2601.095,2.834,s3
2604.224,4.594,s3
2609.138,3.6,s3
2612.943,3.857,s3
2621.348,2.461,s3
