subject,start,end,time,target
s3,179.133,179.622,0.489,s0
s3,179.622,180,0.378,s1
s3,2429.86,2431.829,1.969,tool
s3,2431.829,2435.671,3.842,tool
s3,2435.671,2437.774,2.103,tool
s3,2437.774,2441.19,3.416,wb
s3,2441.19,2441.727,0.537,wb
s3,2441.727,2442.912,1.185,tool
s3,2442.912,2444.673,1.761,tool
s3,2444.673,2445.522,0.849,s2
s3,2445.522,2446.406,0.884,wb
s3,2446.406,2447.449,1.043,tool
s3,2447.449,2448.267,0.818,tool
s3,2448.267,2449.272,1.005,wb
s3,2449.272,2449.858,0.586,wb
s3,2449.858,2450.97,1.112,tool
s3,2450.97,2451.791,0.821,tool
s3,2451.791,2453.43,1.639,wb
s3,2453.43,2454.251,0.821,tool
s3,2454.251,2455.285,1.034,tool
s3,2455.285,2457.005,1.72,tool
s3,2457.005,2458.064,1.059,wb
s3,2458.064,2459.81,1.746,wb
s3,2459.81,2460.934,1.124,tool
s3,2460.934,2462.875,1.941,wb
s3,2462.875,2465.299,2.424,wb
s3,2465.299,2466.549,1.25,wb
s3,2466.549,2478.419,11.87,wb
s3,2478.419,2480.624,2.205,tool
s3,2480.624,2485.175,4.551,wb
s3,2485.175,2487.319,2.144,tool
s3,2487.319,2490.557,3.238,s3
s3,2490.557,2492.133,1.576,s0
s3,2492.133,2495.595,3.462,tool
s3,2495.595,2496.89,1.295,wb
s3,2496.89,2497.969,1.079,wb
s3,2497.969,2500.387,2.418,wb
s3,2500.387,2502.054,1.667,tool
s3,2502.054,2504.276,2.222,tool
s3,2504.276,2507.248,2.972,wb
s3,2507.248,2509.183,1.935,s1
s3,2509.183,2516.074,6.891,wb
s3,2516.074,2518.19,2.116,tool
s3,2518.19,2521.847,3.657,wb
s3,2521.847,2522.457,0.61,wb
