subject,start,end,time,target
s0,1849.98,1863.27,13.29,s2
s0,1863.445,1866.19,2.745,wb
s0,1866.239,1868.226,1.987,s1
s0,1868.391,1870.032,1.641,tool
s0,1870.032,1880.03,9.998,s1
s0,1880.03,1931.91,51.88,tool
s1,1849.96,1853.845,3.885,wb
s1,1853.845,1856.923,3.078,s2
s1,1857.094,1857.838,0.744,wb
s1,1858.217,1860.561,2.344,s2
s1,1860.948,1866.583,5.635,wb
s1,1866.742,1874.237,7.495,s2
s1,1874.399,1878.076,3.677,wb
s1,1878.249,1890.25,12.001,s2
s1,1890.41,1895.244,4.834,wb
s1,1895.409,1907.69,12.281,s2
s1,1907.887,1909.965,2.078,tool
s1,1910.173,1919.221,9.048,s2
s1,1919.38,1922.885,3.505,s2
s1,1924.564,1926.749,2.185,wb
s1,1926.921,1932.173,5.252,wb
s2,1849.938,1853.506,3.568,wb
s2,1853.627,1866.48,12.853,s1
s2,1866.706,1867.684,0.978,tool
s2,1867.847,1868.802,0.955,wb
s2,1868.955,1877.377,8.422,wb
s2,1877.584,1888.901,11.317,s1
s2,1889.129,1893.426,4.297,wb
s2,1893.619,1900.448,6.829,s1
s2,1900.9,1902.11,1.21,s1
s2,1902.307,1906.87,4.563,tool
s2,1907.078,1912.56,5.482,s1
s2,1912.725,1913.634,0.909,s1
s2,1913.824,1919.327,5.503,s1
s2,1919.529,1920.952,1.423,s1
s2,1921.125,1924.767,3.642,tool
s2,1924.969,1931.957,6.988,wb
s3,1849.92,1860.875,10.955,s2
s3,1861.016,1870.034,9.018,s1
s3,1870.034,1873.883,3.849,wb
s3,1873.883,1890.9,17.017,s1
s3,1890.9,1896.99,6.09,wb
s3,1896.99,1903.87,6.88,s1
s3,1903.87,1906.01,2.14,s2
s3,1906.01,1916.03,10.02,tool
s3,1921.85,1924.971,3.121,s1
s3,1925.177,1926.972,1.795,wb
s3,1927.096,1931.041,3.945,wb
s3,1931.041,1931.972,0.931,s2
